Project.name,Experiment.name,Experiment.date,Colony.name,Colony.species,Colony.country,Colony.latitude,Colony.longitude,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
Voolstra et al. 2021,PrT,2018-08-15,PrT6,Stylophora pistillata,SAU,22.26302,39.05165,PrT6-33,2018-08-15,Wild,33,420,0.56,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT7,Stylophora pistillata,SAU,22.26302,39.05165,PrT7-33,2018-08-15,Wild,33,420,0.55,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT1,Stylophora pistillata,SAU,22.26302,39.05165,PrT1-36,2018-08-15,Wild,36,420,0.525,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT2,Stylophora pistillata,SAU,22.26302,39.05165,PrT2-36,2018-08-15,Wild,36,420,0.477,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT3,Stylophora pistillata,SAU,22.26302,39.05165,PrT3-36,2018-08-15,Wild,36,420,0.483,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT4,Stylophora pistillata,SAU,22.26302,39.05165,PrT4-36,2018-08-15,Wild,36,420,0.507,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT5,Stylophora pistillata,SAU,22.26302,39.05165,PrT5-36,2018-08-15,Wild,36,420,0.586,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT6,Stylophora pistillata,SAU,22.26302,39.05165,PrT6-36,2018-08-15,Wild,36,420,0.376,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT7,Stylophora pistillata,SAU,22.26302,39.05165,PrT7-36,2018-08-15,Wild,36,420,0.539,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT1,Stylophora pistillata,SAU,22.26302,39.05165,PrT1-39,2018-08-15,Wild,39,420,0.113,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
